TIME,P,TAVG,THA,THB,TCA,TCB,WRCA,WRCB,PSGA,PSGB,WFWA,WFWB,WSTA,WSTB,VOL,LVPZ,VOID,WLR,WUP,HUP,HLW,WHPI,WECS,QMWT,LSGA,LSGB,QMGA,QMGB,NSGA,NSGB,TBLD,WTRA,WTRB,TSAT,QRHR,LVCR,SCMA,SCMB,FRCL,PRB,PRBA,TRB,LWRB,DNBR,QFCL,WBK,WSPY,WCSP,HTR,MH2,CNH2,RHBR,RHMT,RHFL,RHRD,RH,PWNT,PWR,TFSB,TFPK,TF,TPCT,WCFT,WLPI,WCHG,RM1,RM2,RM3,RM4,RC87,RC131,STRB,STSG,STTB,RBLK,SGLK,DTHY,DWB,WRLA,WRLB,WLD,MBK,EBK,TKLV,FRZR,TDBR,MDBR,MCRT,MGAS,TCRT,TSLP,PPM,RRCA,RRCB,RRCO,WFLB
100,162.8881531,321.8235168,326.7789917,326.7649536,316.8327332,316.847229,1756.421509,3524.176025,64.88593292,64.88594055,19.52924347,39.0573616,-0.003150224,0.003150224,301.2489319,91.192276,9.02304E-07,0,0,2560.366211,1425.509888,0,-5.41307E-07,117.736763,11.6592226,11.65927887,41.48261642,82.96523285,27.99081802,27.99152374,0,0,0,348.7857361,0,7.92489624,22.00676918,22.02080727,0,1.034000039,0.906761765,50,0.099999994,5.932185173,0,0,0,0,0,0,0,0,-1.55621922,0.704966784,-6.149999619,-7.001252174,3.992442846,4.066900253,341.2471008,341.3020935,341.3020935,331.5639038,0,0,-5.41307E-07,0.0011,0.029943129,0.032999996,0.044,15087.7207,200082.5938,0.021269055,0,3.13927E-05,134.0283508,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.106347837,0.106690928,0.106576569,0
110,162.5202484,321.7706604,328.6078186,328.5925293,314.9911194,315.0066833,1203.206543,2412.166016,65.95610809,65.95610809,19.32595444,38.65079117,-0.003150224,0.003150224,301.035675,90.65577698,1.23361E-06,0,0,2561.49292,1407.439331,0,-5.41307E-07,112.2617493,11.67869663,11.67875195,40.31013489,80.62026978,28.2199173,28.22062302,0,0,0,348.5982971,0,7.92489624,19.99047279,20.00576591,0,1.034000039,0.906761765,50,0.099999994,4.276536942,0,0,0,0,0,0,0,0,-1.548429728,0.706475317,-6.149999619,-6.991954327,3.821650267,3.877780676,340.3028259,340.3442688,340.3442688,331.0589294,0,0,-5.41307E-07,0.0011,0.032214474,0.032999996,0.044,17665.75195,223584.375,0.021269055,0,3.13927E-05,147.3645325,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.072851762,0.073025927,0.072967872,0
120,162.1281281,321.7088318,330.4429932,330.4277954,313.0979919,313.1132507,922.4534302,1847.827026,67.00377655,67.00378418,19.12600327,38.25098801,-0.006298528,0.006298528,300.8084717,90.08420563,-1.37136E-08,0,0,2562.695068,1390.935913,0,-5.41307E-07,108.1197205,11.69784832,11.69790268,39.18775558,78.37551117,28.4452095,28.4459362,0,0,0,348.3977966,0,7.92489624,17.95481491,17.97000504,0,1.034000039,0.906761765,50,0.099999994,3.425026417,0,0,0,0,0,0,0,0,-1.53932023,0.707651496,-6.149999619,-6.981668472,3.68951273,3.734705448,339.5641174,339.5975037,339.5975037,330.6547852,0,0,-5.41307E-07,0.0011,0.03452668,0.032999996,0.044,20241.19531,247083.25,0.021269055,0,3.13927E-05,160.7007141,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.055852722,0.055941127,0.05591166,0
130,161.7283325,321.6439514,332.1076355,332.0937805,311.3563538,311.3701172,790.3109741,1582.208252,68.02020264,68.02021027,18.93074608,37.86044312,-0.003150224,0.003150224,300.5773926,89.50289154,-1.76312E-06,0,0,2563.920166,1380.20105,0,-5.41307E-07,104.806427,11.71655464,11.71660709,38.12370682,76.24741364,28.66531372,28.66597748,0,0,0,348.1930542,0,7.92489624,16.0854435,16.0992775,0,1.034000039,0.906761765,50,0.099999994,3.050682783,0,0,0,0,0,0,0,0,-1.529777646,0.708616853,-6.149999619,-6.971160412,3.582448483,3.620256662,338.9566345,338.9845886,338.9845886,330.3158875,0,0,-5.41307E-07,0.0011,0.036879707,0.032999996,0.044,22814.04297,270579.2188,0.021269055,0,3.13927E-05,174.0368958,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.04785176,0.047899783,0.047883775,0
140,161.3311615,321.5802917,333.1860046,333.1731567,310.1843567,310.197113,790.3109741,1582.208008,69.02129364,69.02130127,18.73802948,37.47510147,-0.006298528,0.006298528,300.3485107,88.92709351,-4.74446E-07,0,0,2565.135498,1382.189941,0,-5.41307E-07,102.0562134,11.73501396,11.73506451,37.07644653,74.15289307,28.88245201,28.88313866,0,0,0,347.9894409,0,7.92489624,14.80343342,14.81628418,0,1.034000039,0.906761765,50,0.099999994,3.159192085,0,0,0,0,0,0,0,0,-1.520421267,0.709433854,-6.149999619,-6.960987568,3.492877483,3.525257826,338.441925,338.4658508,338.4658508,330.0246277,0,0,-5.41307E-07,0.0011,0.039273512,0.032999996,0.044,25384.30664,294072.2813,0.021269055,0,3.13927E-05,187.3730774,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.04785176,0.047899775,0.047883771,0
150,160.9440918,321.5205994,333.7025146,333.6899719,309.5632019,309.575531,790.31073,1582.208008,69.99971008,69.99971771,18.54868126,37.09640884,-0.003150224,0.003150224,300.1262207,88.36782837,-2.79543E-06,0,0,2566.317871,1384.147705,0,-5.41307E-07,99.712677,11.7531538,11.75320148,36.05427551,72.10855103,29.09589386,29.09650421,0,0,0,347.790802,0,7.92489624,14.08830452,14.10085106,0,1.034000039,0.906761765,50,0.099999994,3.259890556,0,0,0,0,0,0,0,0,-1.511662602,0.710138798,-6.149999619,-6.951523304,3.416158676,3.444306612,337.9974365,338.018219,338.018219,329.7708435,0,0,-5.41307E-07,0.0011,0.04170806,0.032999996,0.044,27951.98633,317562.5,0.021269055,0,3.13927E-05,200.709259,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851745,0.047899775,0.047883768,0
160,160.5726013,321.4668884,333.8742981,333.8618469,309.2835999,309.2958374,790.310791,1582.208252,70.94888306,70.94889069,18.36373711,36.72650146,0,0,299.9136047,87.83293152,-2.14458E-06,0,0,2567.450928,1386.06311,0,-5.41307E-07,97.67599487,11.77087212,11.77091885,35.06715393,70.13430786,29.30437088,29.30491829,0,0,0,347.6000671,0,7.92489624,13.72579002,13.73823452,0,1.034000039,0.906761765,50,0.099999994,3.35398531,0,0,0,0,0,0,0,0,-1.503788471,0.710754633,-6.149999619,-6.943033695,3.349252701,3.373955011,337.6090393,337.6272583,337.6272583,329.5483398,0,0,-5.41307E-07,0.0011,0.044183299,0.032999996,0.044,30517.08984,341049.8125,0.021269055,0,3.13927E-05,214.0454407,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851749,0.047899783,0.047883775,0
170,160.2200928,321.4205017,333.8369446,333.8244629,309.2162781,309.2285461,790.310791,1582.208618,71.87892914,71.87892914,18.18179131,36.36263275,0,0,299.7125244,87.32710266,-3.14996E-06,0,0,2568.523682,1387.965088,0,-5.41307E-07,95.87853241,11.78830147,11.78834629,34.10634995,68.21269989,29.5094223,29.50995636,0,0,0,347.4189758,0,7.92489624,13.5820179,13.59449673,0,1.034000039,0.906761765,50,0.099999994,3.442309141,0,0,0,0,0,0,0,0,-1.496994376,0.711296558,-6.149999619,-6.935697556,3.290066957,3.311866283,337.2670593,337.2831726,337.2831726,329.3529053,0,0,-5.41307E-07,0.0011,0.046699222,0.032999996,0.044,33079.62109,364534.2813,0.021269055,0,3.13927E-05,227.3816223,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851749,0.047899794,0.047883779,0
180,159.8884277,321.3822327,333.6772156,333.6647339,309.2793274,309.2915344,790.3109741,1582.208618,72.78374481,72.78374481,18.00355911,36.00619125,0,0,299.5239563,86.85277557,4.46293E-06,0,0,2569.531738,1389.755981,0,-5.41307E-07,94.27353668,11.8053751,11.80541897,33.21714783,66.43429565,29.71028709,29.7108078,0,0,0,347.2485352,0,7.92489624,13.57133675,13.58381557,0,1.034000039,0.906761765,50,0.099999994,3.52543807,0,0,0,0,0,0,0,0,-1.491391897,0.711775661,-6.149999619,-6.929615498,3.237101793,3.256426096,336.9646912,336.9789734,336.9789734,329.1814575,0,0,-5.41307E-07,0.0011,0.049255759,0.032999996,0.044,35639.57813,388015.8438,0.021269055,0,3.13927E-05,240.717804,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.04785176,0.047899794,0.047883783,0
190,159.5765228,321.3518066,333.4526672,333.4402466,309.4180908,309.4302368,790.310791,1582.208618,73.66323853,73.66323853,17.82917213,35.65744781,0,0,299.3473206,86.40836334,1.79323E-06,0,0,2570.477539,1391.491455,0,-5.41307E-07,92.82637787,11.82207966,11.82212257,32.37416458,64.74832916,29.90681648,29.90732384,0,0,0,347.0882568,0,7.92489624,13.63559341,13.64800358,0,1.034000039,0.906761765,50,0.099999994,3.603981018,0,0,0,0,0,0,0,0,-1.486943364,0.712201238,-6.149999619,-6.924741745,3.189247847,3.206437826,336.6960449,336.7087708,336.7087708,329.0309448,0,0,-5.41307E-07,0.0011,0.051852878,0.032999996,0.044,38196.96484,411494.5,0.021269055,0,3.13927E-05,254.0539856,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851749,0.047899794,0.047883779,0
200,159.2854462,321.3295898,333.1934814,333.1811523,309.6043396,309.616333,790.31073,1582.20813,74.52726746,74.52726746,17.65723419,35.31370926,-0.006298528,0.006298528,299.1829224,85.99474335,-4.77272E-06,0,0,2571.359131,1393.227295,0,-5.41307E-07,91.50999451,11.83854771,11.83858871,31.55393982,63.10787964,30.10049057,30.1010685,0,0,0,346.9386292,0,7.92489624,13.74515152,13.75746059,0,1.034000039,0.906761765,50,0.099999994,3.67828846,0,0,0,0,0,0,0,0,-1.483696818,0.712579846,-6.149999619,-6.921116829,3.145663023,3.160967112,336.4570923,336.4683838,336.4683838,328.8994446,0,0,-5.41307E-07,0.0011,0.054490566,0.032999996,0.044,40751.78906,434970.375,0.021269055,0,3.13927E-05,267.3901672,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851745,0.047899779,0.047883768,0
210,159.0161896,321.3160706,332.9183044,332.9061279,309.8210754,309.8329163,790.3108521,1582.208496,75.37060547,75.37060547,17.48840714,34.97607803,-0.006298528,0.006298528,299.0312195,85.61313629,9.0958E-07,0,0,2572.173584,1394.956665,0,-5.41307E-07,90.30245972,11.85472012,11.85476017,30.7609539,61.52190781,30.29075432,30.29131889,0,0,0,346.8001404,0,7.92489624,13.88183594,13.89400959,0,1.034000039,0.906761765,50,0.099999994,3.748659134,0,0,0,0,0,0,0,0,-1.481719732,0.712916493,-6.149999619,-6.918803215,3.105693102,3.11925602,336.2446289,336.2546692,336.2546692,328.785614,0,0,-5.41307E-07,0.0011,0.057168748,0.032999996,0.044,43304.04688,458443.3125,0.021269055,0,3.13927E-05,280.7263489,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851752,0.04789979,0.047883779,0
220,158.7776489,321.3152771,332.6402283,332.6282959,310.0571289,310.0688171,790.3109131,1582.208252,76.18914032,76.18914795,17.32325935,34.64582825,-0.006298528,0.006298528,298.8965149,85.27423859,-4.5676E-06,0,0,2572.897461,1396.686035,0,-5.41307E-07,90.37564087,11.87054062,11.87057781,30.00346375,60.00685883,30.4768734,30.47741127,0,0,0,346.6768188,0,7.92489624,14.03659439,14.04853058,0,1.034000039,0.906761765,50,0.099999994,3.764477253,0,0,0,0,0,0,0,0,-1.481605768,0.712900043,-6.149999619,-6.91870594,3.110407591,3.121783733,336.2566833,336.2651062,336.2651062,328.789978,0,0,-5.41307E-07,0.0011,0.05988742,0.032999996,0.044,45853.76563,481913.4688,0.021269055,0,3.13927E-05,294.0625305,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851756,0.047899783,0.047883775,0
230,158.5721893,321.3269958,332.3693542,332.3577576,310.3074341,310.3188782,790.3111572,1582.207642,76.98969269,76.98970032,17.16100311,34.32112503,0,0,298.7813416,84.9845047,-2.62457E-06,0,0,2573.516846,1398.426636,0,-5.41307E-07,88.95021057,11.88609219,11.88612556,29.27590561,58.55181122,30.65983391,30.66032982,0,0,0,346.571167,0,7.92489624,14.20179653,14.21339321,0,1.034000039,0.906761765,50,0.099999994,3.841377974,0,0,0,0,0,0,0,0,-1.483315229,0.713253438,-6.149999619,-6.920061111,3.056393862,3.072546005,336.0287476,336.0406799,336.0406799,328.6834717,0,0,-5.41307E-07,0.0011,0.062646523,0.032999996,0.044,48400.90625,505380.6563,0.021269055,0,3.13927E-05,307.3987122,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851767,0.047899768,0.047883768,0
240,158.3794098,321.3435974,332.1081848,332.0967712,310.5667725,310.578125,790.3112183,1582.207642,77.77422333,77.77423096,17.00104713,34.00147629,-0.006298528,0.006298528,298.6728821,84.71166229,-2.67927E-06,0,0,2574.09668,1400.153442,0,-5.41307E-07,87.46307373,11.90140629,11.90143967,28.56817818,57.13635635,30.84000206,30.84049797,0,0,0,346.4721069,0,7.92489624,14.36391258,14.37533951,0,1.034000039,0.906761765,50,0.099999994,3.922574997,0,0,0,0,0,0,0,0,-1.485743761,0.713615119,-6.149999619,-6.922128201,3.006387711,3.021177053,335.8001404,335.8110657,335.8110657,328.5768738,0,0,-5.41307E-07,0.0011,0.065446027,0.032999996,0.044,50945.51953,528845.0625,0.021269055,0,3.13927E-05,320.7348938,0,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851775,0.047899768,0.047883771,0
250,158.1417084,321.3392334,332.0329285,332.0192566,310.6470032,310.6605225,790.3111572,1582.20752,77.23802185,77.2379837,17.76450157,35.52754974,99.34832001,198.6022949,298.5421753,84.3828125,-3.61824E-06,0,0,2574.795654,1397.307739,0,-5.41307E-07,86.13788605,11.87366009,11.87369919,29.81388664,59.58758545,31.55112839,31.55119896,0,0,0,346.3525085,0,7.92489624,14.31959438,14.33325958,0,1.034000039,0.906761765,50,0.099999994,4.002898216,0,0,0,0,0,0,0,0,-1.485104322,0.713964403,-6.149999619,-6.921139717,2.959888697,2.975401878,335.5778503,335.5892944,335.5892944,328.4646912,0,0,-5.41307E-07,0.0011,0.067935035,0.032999996,0.044,53487.58203,552306.625,0.021269055,0.167227551,3.13927E-05,334.0710754,1739.93335,0.001536194,7.82062E-05,99.31690216,198.6337128,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851767,0.04789976,0.047883764,0
260,157.8417206,321.309906,332.0625,332.0471497,310.6057434,310.6209717,790.3112183,1582.207642,76.6408844,76.64083862,18.09546089,36.18946838,98.57290649,197.0702667,298.3760681,83.9649353,-1.79077E-06,0,0,2575.685303,1395.935303,0,-5.41307E-07,84.89755249,11.84159756,11.84165001,30.34153557,60.64188766,31.16587639,31.16609764,0,0,0,346.2001648,0,7.92489624,14.13767529,14.15300179,0,1.034000039,0.906761765,50,0.099999994,4.087104321,0,0,0,0,0,0,0,0,-1.480818033,0.714332044,-6.149999619,-6.916485786,2.916481495,2.932557821,335.3440247,335.3558655,335.3558655,328.3338928,0,0,-5.41307E-07,0.0011,0.070435427,0.032999996,0.044,56027.10156,575765.3125,0.021269055,0.171989694,3.13927E-05,347.4072571,3557.411621,0.001529374,7.99698E-05,98.54775238,197.0954132,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851771,0.047899764,0.047883768,0
270,157.4914703,321.2598572,332.1369324,332.1204529,310.493042,310.509491,790.3112183,1582.207397,76.06774139,76.06769562,18.41930962,36.83692551,97.83474731,195.5939484,298.1824036,83.47773743,-4.74508E-06,0,0,2576.723145,1394.531738,0,-5.41307E-07,83.73551941,11.81023884,11.81030273,30.82499886,61.60791016,30.78922653,30.78958511,0,0,0,346.0220032,0,7.92489624,13.88509178,13.90157127,0,1.034000039,0.906761765,50,0.099999994,4.174481392,0,0,0,0,0,0,0,0,-1.473509669,0.714712024,-6.149999619,-6.908797264,2.875818491,2.892418623,335.102356,335.114624,335.114624,328.1887207,0,0,-5.41307E-07,0.0011,0.072965264,0.032999996,0.044,58564.08984,599221.1875,0.021269055,0.176712424,3.13927E-05,360.7434387,5361.060059,0.001523422,8.17452E-05,97.8095932,195.6191101,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851775,0.047899757,0.047883764,0
280,157.1049194,321.1964111,332.1784363,332.1621704,310.3824463,310.3987427,790.3111572,1582.207153,75.99275208,75.9927597,18.13044357,36.25941849,-0.006298528,0.006298528,297.9677124,82.93762207,-4.2406E-06,0,0,2577.875244,1395.861694,0,-5.41307E-07,82.62227631,11.79321766,11.79329205,30.06790352,60.13573837,29.56719208,29.56816673,0,0,0,345.823761,0,7.92489624,13.64532471,13.66156673,0,1.034000039,0.906761765,50,0.099999994,4.265288353,0,0,0,0,0,0,0,0,-1.464255452,0.715102613,-6.149999619,-6.899152756,2.837605476,2.853964567,334.8545837,334.8666382,334.8666382,328.0328369,0,0,-5.41307E-07,0.0011,0.075666264,0.032999996,0.044,61098.53906,622674.1875,0.021269055,0,3.13927E-05,374.0796204,6526.273926,0.000168947,1.69194E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,0.047851767,0.047899753,0.04788376,0
