Area,No. of Bedrooms,Resale,MaintenanceStaff,Price
547,2,1,1,6800000
556,2,1,1,6700000
950,2,1,1,3000000
600,2,1,1,4500000
600,2,1,1,5300000
600,1,1,1,3000000
800,2,1,1,4500000
275,1,1,1,5300000
1050,2,1,1,10500000
1155,2,1,1,10000000
1350,2,1,1,16000000
1760,3,1,1,17000000
1650,3,1,1,11700000
725,1,1,1,7500000
1300,3,1,0,23000000
950,2,1,1,3000000
600,2,1,1,4500000
600,2,1,1,5300000
600,1,1,1,3000000
800,2,1,1,4500000
275,1,1,1,5300000
275,1,1,1,3000000
275,1,1,1,2000000
275,1,1,1,2000000
275,1,1,1,5300000
275,1,1,1,5300000
1065,2,1,1,4500000
275,1,1,1,2000000
275,1,1,1,2000000
275,1,1,1,5300000
275,1,1,1,3000000
275,1,1,1,2000000
275,1,1,1,5300000
275,1,1,1,5300000
275,1,1,1,2000000
275,1,1,1,5300000
275,1,1,1,5300000
275,1,1,1,2000000
275,1,1,1,2000000
275,1,1,1,2000000
275,1,1,1,2000000
275,1,1,1,8500000
275,1,1,1,5300000
275,1,1,1,2000000
275,1,1,1,5300000
275,1,1,1,5300000
275,1,1,1,3000000
275,1,1,1,2000000
530,1,1,1,3000000
600,1,1,0,8800000
1245,2,1,1,17000000
1257,2,1,1,20700000
1175,2,1,1,18000000
1053,2,1,1,17500000
1052,2,1,1,18500000
730,1,0,1,3874000
650,2,1,1,8500000
650,1,1,1,9600000
650,1,1,1,10800000
1050,2,1,1,18500000
1250,2,1,1,21000000
1050,2,1,1,15000000
1150,2,1,1,21000000
1450,3,1,1,30000000
1450,3,1,1,30000000
1550,3,1,1,27000000
1075,2,1,1,22100000
1075,2,1,1,22100000
650,2,1,1,8500000
650,1,1,1,9600000
650,1,1,1,10800000
1050,2,1,1,18500000
1250,2,1,1,21000000
1050,2,1,1,15000000
1150,2,1,1,21000000
1450,3,1,1,30000000
1450,3,1,1,30000000
1550,3,1,1,27000000
1075,2,1,1,22100000
1075,2,1,1,22100000
1350,3,1,1,18500000
650,1,1,1,10500000
1050,2,1,1,16500000
650,1,1,1,9600000
1350,3,1,1,28500000
1650,3,1,1,28000000
1050,2,1,1,19000000
1350,3,1,1,18800000
1650,3,1,1,27000000
950,2,1,1,15000000
1300,3,1,1,24000000
600,1,1,1,11200000
1165,2,1,1,19000000
1357,3,1,1,27500000
1500,3,1,1,23000000
650,1,1,1,10000000
1050,2,1,1,17000000
1050,2,1,1,15500000
950,2,1,1,14500000
1150,2,1,1,20500000
1100,2,1,1,22500000
1450,3,1,1,26500000
1100,3,1,1,23000000
1350,3,1,1,18000000
1350,3,1,1,19000000
1650,3,1,1,29000000
1050,2,1,1,16500000
1150,2,1,1,20500000
1150,3,1,1,19000000
1050,2,1,1,20500000
585,1,1,1,9800000
585,1,1,1,9800000
1250,2,1,1,21000000
950,2,1,1,14500000
1050,2,1,1,16500000
1050,2,1,1,18000000
1250,2,1,1,21000000
1050,2,1,1,15000000
1650,3,1,1,29000000
1650,3,1,1,29000000
1050,2,1,1,16500000
1170,3,1,1,28200000
1014,3,1,1,26400000
764,2,1,1,16800000
820,2,1,1,18600000
1050,2,1,1,17500000
1350,3,1,1,26000000
1350,3,1,1,28000000
1350,2,1,1,16000000
1760,3,1,1,17000000
1650,3,1,1,11700000
725,1,1,1,7500000
1300,3,1,0,23000000
654,1,1,1,10900000
400,1,1,1,7400000
450,1,1,1,7300000
1100,2,1,1,17600000
385,1,1,1,7500000
1346,3,1,1,36100000
810,2,1,1,6000000
700,2,1,1,4200000
1417,3,1,1,9800000
783,2,1,1,3500000
770,1,1,1,5800000
400,1,1,1,2700000
750,2,1,1,4200000
1180,2,1,1,6400000
565,1,1,1,3500000
850,2,1,1,9500000
450,1,1,1,7000000
950,2,1,1,17500000
1250,3,1,1,19500000
1350,3,1,1,26000000
1200,3,1,1,19500000
850,2,1,1,16000000
1350,3,1,1,19000000
1650,3,1,1,27000000
1650,3,1,1,27000000
1350,3,1,1,18000000
1150,2,1,1,20500000
1450,3,1,1,26500000
1350,3,1,1,18500000
1250,3,1,1,20000000
1100,3,1,1,19100000
1450,3,1,1,30000000
1100,2,1,1,22500000
560,2,1,1,12000000
1000,2,1,1,12000000
1580,3,1,1,28000000
1345,3,1,1,21500000
505,1,0,1,2170000
1225,2,1,1,19500000
1026,2,1,1,9000000
900,2,0,1,3500000
852,2,1,0,9500000
1157,2,1,1,13000000
874,2,1,0,16000000
969,2,0,1,35000000
950,2,0,1,34800000
1115,2,1,1,7900000
690,1,1,1,4700000
422,1,1,1,3800000
936,2,1,1,9800000
576,1,1,1,5900000
600,1,1,0,11299999
907,2,1,0,15500000
1175,2,1,1,8725000
1525,2,0,0,13200000
543,1,1,0,6800000
1267,3,1,0,31000000
1735,3,1,0,40000000
3410,4,0,0,58500000
1850,3,0,0,40199999
702,1,0,0,5000000
566,1,0,0,6500000
1310,3,0,0,21500000
506,1,1,1,6400000
509,1,1,1,6400000
950,2,1,0,7000000
685,1,0,0,2350000
2415,4,0,0,29500000
900,2,1,0,10500000
1440,3,1,0,11000000
650,1,1,0,2800000
820,2,1,0,8000000
590,1,0,0,2600000
650,1,0,0,6000000
700,1,1,0,4800000
1600,3,1,0,17500000
1140,2,1,0,10000000
1502,3,1,0,16500000
1600,3,1,0,17500000
650,1,1,0,4800000
1600,3,0,1,14000000
1140,2,1,0,10000000
1325,2,0,0,10000000
1725,3,0,0,12500000
1256,2,1,0,13500000
1600,3,1,0,16500000
1600,3,1,0,16500000
2030,3,0,1,21000000
1725,3,0,0,12500000
1680,3,0,0,16000000
1810,3,0,0,17000000
1325,2,0,0,10000000
1725,3,0,0,12500000
1210,2,0,0,9500000
3275,4,0,0,31100000
1680,3,0,0,16000000
1810,3,0,0,17000000
1325,2,0,0,10000000
1725,3,0,0,12500000
1210,2,0,0,9500000
3275,4,0,0,31100000
3205,4,0,0,30400000
1305,2,0,0,12300000
1230,2,0,0,11600000
1725,3,0,0,16000000
1210,2,0,0,9600000
1660,3,1,0,16500000
1700,3,0,0,18500000
1130,2,0,1,15500000
1810,3,0,0,17900000
3205,4,0,0,30400000
1482,3,0,0,13300000
1890,4,1,1,28000000
484,1,1,0,8500000
2200,3,1,0,180000000
320,1,1,0,3000000
1618,3,0,0,29400000
1475,3,1,0,31000000
1350,3,1,0,24500000
1300,2,0,0,22000000
970,2,1,1,16000000
1500,3,0,0,17500000
1786,3,1,0,31500000
1500,3,1,0,26500000
1920,4,1,1,47000000
1350,2,0,1,21000000
400,1,1,0,6100000
2000,3,1,1,100000000
640,2,0,0,13500000
510,1,0,0,5500000
650,1,1,1,4500000
1175,2,1,1,16500000
661,1,1,1,4800000
1500,3,1,0,21500000
5476,5,0,0,360000000
619,1,1,1,5500000
619,1,1,1,5600000
1250,2,1,1,9500000
995,2,1,1,7000000
1700,3,1,1,16000000
1420,3,1,1,10500000
1100,2,1,1,7600000
1080,2,1,1,7400000
1080,2,1,1,7000000
410,1,1,1,3200000
650,1,1,1,5000000
925,2,1,1,6400000
1200,3,1,1,8500000
1160,2,1,1,8700000
1005,2,1,1,8200000
1255,2,1,1,6500000
1256,2,1,1,8300000
1500,3,1,0,21500000
5476,5,0,0,360000000
1150,2,1,1,18500000
1236,2,1,1,9350000
1700,3,1,1,10000000
1003,2,1,1,7000000
1000,2,1,1,5800000
653,1,1,1,4800000
1575,3,1,1,11000000
1089,2,1,1,8500000
1296,2,1,1,48000000
2014,3,1,0,72500000
1503,2,1,0,70000000
1903,4,1,0,175000000
1376,3,1,1,86500000
3600,4,1,0,120000000
1706,3,1,0,75000000
686,1,1,0,2600000
650,1,1,1,4500000
1175,2,1,1,16500000
661,1,1,1,4800000
1500,3,1,0,21500000
5476,5,0,0,360000000
1150,2,1,1,18500000
1005,2,1,1,9000000
1220,3,1,0,7500000
600,1,1,0,11000000
1189,3,1,0,22500000
1000,2,1,0,14500000
1100,2,1,0,14500000
1100,2,1,0,13000000
650,1,1,0,6500000
400,1,1,0,7000000
1055,2,1,1,7800000
710,1,1,1,5100000
417,1,0,0,9000000
999,2,1,1,17000000
1080,2,0,0,21500000
1300,3,1,0,32000000
1100,2,1,1,5300000
738,1,1,0,3800000
900,2,1,1,16000000
1500,3,1,0,23000000
900,2,1,1,16299999
800,2,1,1,13899999
900,2,1,0,21000000
900,2,1,1,20000000
900,2,1,0,21000000
1200,3,1,1,18500000
900,2,1,1,20500000
510,1,1,1,12500000
1735,3,1,0,40000000
670,1,1,0,11000000
2710,3,1,1,150000000
800,1,1,1,19500000
1388,2,1,1,55000000
1100,2,1,1,45000000
3638,4,1,1,400000000
1700,3,1,1,70000000
1700,3,1,1,85000000
2450,4,1,0,35000000
1165,3,1,0,18000000
1025,2,1,0,11200000
450,1,1,0,3100000
900,2,1,1,7500000
603,1,1,1,4500000
1340,2,1,1,13500000
1550,2,1,1,16000000
1160,2,1,1,11000000
650,1,1,1,6500000
610,1,1,1,5600000
860,1,1,1,7200000
640,1,1,1,5500000
560,1,1,1,6000000
1260,2,1,1,13200000
850,1,1,1,6000000
1095,2,1,1,11500000
1500,3,1,1,15000000
500,1,1,0,5000000
635,1,1,1,5600000
610,1,1,1,4600000
1065,2,1,1,9500000
1251,2,1,1,12700000
1065,2,1,1,9500000
1320,2,1,1,14000000
1136,2,1,1,10500000
1125,2,1,1,9900000
1098,2,1,1,10000000
1300,2,1,1,13000000
735,1,1,1,7800000
640,1,1,1,4200000
1090,2,1,1,9800000
800,1,1,1,4500000
1300,3,1,1,15000000
560,1,1,1,5300000
1400,3,1,1,16000000
1117,2,1,1,11100000
1125,2,1,1,12700000
675,1,1,1,6000000
1100,2,1,1,11000000
650,1,1,1,5000000
675,1,1,1,6500000
450,1,1,1,5500000
1300,2,1,1,13000000
640,1,1,1,5500000
860,1,1,1,7200000
560,1,1,1,6000000
650,1,1,1,5500000
1075,2,1,1,10500000
735,1,1,1,7000000
600,1,1,1,4600000
1000,2,1,1,8000000
1070,2,1,1,10600000
1182,2,1,1,11500000
911,2,1,1,10500000
1117,2,1,1,11100000
1125,2,1,1,12700000
1025,2,1,1,9900000
555,1,1,1,3800000
600,1,1,1,3600000
550,1,1,1,3700000
600,1,1,1,3000000
950,3,1,1,7600000
610,1,1,1,4600000
1065,2,1,1,9500000
1251,2,1,1,12700000
1065,2,1,1,9500000
1320,2,1,1,14000000
1136,2,1,1,10500000
1125,2,1,1,9900000
1098,2,1,1,10000000
1300,2,1,1,13000000
735,1,1,1,7800000
640,1,1,1,4200000
1090,2,1,1,9800000
800,1,1,1,4500000
1300,3,1,1,15000000
560,1,1,1,5300000
1400,3,1,1,16000000
1117,2,1,1,11100000
1125,2,1,1,12700000
675,1,1,1,6000000
1100,2,1,1,11000000
860,1,1,1,7200000
560,1,1,1,6000000
650,1,1,1,5500000
1075,2,1,1,10500000
735,1,1,1,7000000
600,1,1,1,4600000
1000,2,1,1,8000000
1070,2,1,1,10600000
1182,2,1,1,11500000
911,2,1,1,10500000
1117,2,1,1,11100000
1125,2,1,1,12700000
1025,2,1,1,9900000
555,1,1,1,3800000
600,1,1,1,3600000
550,1,1,1,3700000
600,1,1,1,3000000
950,3,1,1,7600000
1472,3,1,0,33000000
370,1,1,1,2100000
715,1,1,1,8000000
1771,3,1,1,21000000
1650,3,0,0,25500000
1650,3,1,0,16000000
1340,3,1,0,112500000
690,1,1,0,5500000
816,2,0,0,13000000
810,2,1,0,8000000
1000,2,1,0,8500000
1250,2,1,0,14500000
473,1,0,1,6990000
1000,2,1,0,8500000
1016,2,1,0,14000000
785,2,1,0,10000000
1290,2,1,0,13000000
1227,2,1,0,11500000
1630,3,1,0,17500000
1200,2,1,0,14000000
1200,2,1,0,14000000
1500,3,1,0,19000000
1700,3,1,1,70000000
1700,3,1,1,85000000
2000,3,1,1,85000000
1700,3,1,1,85000000
525,1,1,0,8200000
540,1,1,0,12000000
525,1,0,0,2800000
1350,3,1,1,29000000
1131,2,1,1,11000000
1400,3,1,1,9500000
800,2,1,1,6500000
